ClassID,Packet,Delay (ms)
1,195,34.081
3,193,4.635
1,196,35.314
2,194,32.766
3,194,6.601
2,195,33.046
1,197,34.186
3,195,5.638
1,198,34.452
2,196,33.603
3,196,5.889
1,199,35.198
2,197,33.549
3,197,3.8120000000000003
1,200,35.198
2,198,33.338
3,198,4.035
1,201,35.902
2,199,34.339
3,199,4.361
1,202,35.902
2,200,35.197
3,200,3.5220000000000002
2,201,35.443
1,203,36.99
3,201,4.515
1,204,36.99
2,202,35.992
3,202,3.9490000000000003
2,203,32.711
1,205,36.721000000000004
3,203,4.314
2,204,33.54
1,206,35.073
3,204,4.7780000000000005
1,207,35.073
2,205,33.577
3,205,4.087
2,206,32.679
1,208,35.730000000000004
3,206,4.293
1,209,34.044000000000004
2,207,33.202
3,207,4.429
2,208,33.686
1,210,35.163000000000004
3,208,4.442
1,211,33.996
2,209,33.95
3,209,4.442
1,212,35.527
3,210,4.447
2,210,34.549
1,213,35.38
3,211,5.112
2,211,33.842
1,214,34.148
3,212,5.51
2,212,33.195
1,215,35.151
2,213,34.065
3,213,5.541
1,216,34.781
3,214,6.1450000000000005
2,214,33.794000000000004
2,215,33.794000000000004
1,217,35.481
3,215,5.724
1,218,35.099000000000004
2,216,34.035000000000004
3,216,5.773
3,217,5.773
1,219,35.511
2,217,33.678
1,220,35.511
3,218,4.389
2,218,33.131
2,219,34.144
3,219,5.433
1,221,36.406
1,222,36.406
2,220,34.626
3,220,4.844
1,223,36.368
2,221,34.309
3,221,5.36
3,222,5.49
1,224,36.501
2,222,35.255
3,223,5.908
1,225,37.07
2,223,35.255
1,226,35.114
2,224,33.936
3,224,6.932
1,227,34.145
2,225,33.160000000000004
3,225,7.299
1,228,35.684
3,226,7.083
2,226,33.198
1,229,35.753
2,227,34.641
3,227,8.370000000000001
1,230,36.409
2,228,34.499
3,228,7.774
1,231,36.443
2,229,34.788000000000004
3,229,7.2330000000000005
1,232,36.844
2,230,34.428
3,230,7.8020000000000005
2,231,35.776
1,233,36.834
3,231,8.583
2,232,35.973
1,234,37.561
3,232,8.749
1,235,37.561
2,233,36.421
3,233,9.305
3,234,9.305
2,234,36.725
1,236,37.887
2,235,36.11
3,235,10.051
1,237,37.632
2,236,36.99
1,238,37.994
3,236,9.996
2,237,37.407000000000004
1,239,37.994
3,237,9.996
2,238,37.588
3,238,4.564
1,240,39.645
2,239,38.134
1,241,39.645
3,239,4.5360000000000005
1,242,38.881
2,240,38.818
3,240,4.994
3,241,5.304
1,243,39.858000000000004
2,241,38.458
3,242,5.506
1,244,40.127
2,242,38.458
3,243,6.676
1,245,38.389
2,243,38.271
3,244,7.965
2,244,39.276
1,246,40.276
3,245,8.426
2,245,39.437
1,247,40.375
3,246,8.506
1,248,40.796
2,246,39.421
3,247,8.143
1,249,38.871
2,247,39.935
3,248,8.75
1,250,40.296
2,248,40.017
3,249,9.449
1,251,40.858000000000004
2,249,39.272
1,252,40.858000000000004
2,250,39.349000000000004
3,250,9.449
1,253,41.212
2,251,40.65
3,251,9.642
1,254,41.749
2,252,40.79
3,252,9.642
2,253,41.36
1,255,42.402
3,253,9.381
1,256,42.299
2,254,41.659
3,254,9.216000000000001
3,255,10.218
2,255,41.605000000000004
1,257,43.198
3,256,10.328
1,258,43.198
2,256,42.549
3,257,10.18
1,259,43.949
2,257,42.165
3,258,0.058
1,260,43.761
2,258,42.45
3,259,0.168
1,261,44.757
2,259,42.45
3,260,0.76
1,262,46.001
2,260,44.675000000000004
2,261,43.103
3,261,1.165
1,263,45.586
1,264,46.027
2,262,44.286
3,262,0.064
1,265,46.555
2,263,44.368
3,263,0.027
1,266,45.958
2,264,44.061
3,264,0.441
1,267,44.219
2,265,43.856
3,265,0.11900000000000001
1,268,45.312
2,266,43.719
3,266,1.139
1,269,45.651
2,267,44.099000000000004
3,267,1.131
3,268,1.08
1,270,47.175000000000004
2,268,44.634
3,269,2.178
1,271,47.264
2,269,46.608000000000004
3,270,2.435
1,272,48.097
2,270,46.746
3,271,2.87
1,273,46.161
2,271,46.539
2,272,45.345
3,272,2.983
1,274,46.997
3,273,2.919
2,273,45.254
1,275,47.870000000000005
2,274,44.806
3,274,2.664
1,276,47.312
2,275,45.291000000000004
3,275,2.791
1,277,47.518
2,276,46.22
3,276,2.512
1,278,47.181000000000004
2,277,45.658
3,277,3.5420000000000003
1,279,47.477000000000004
2,278,46.676
3,278,3.332
1,280,47.52
2,279,46.419000000000004
3,279,2.782
1,281,47.647
3,280,3.0700000000000003
1,282,47.929
2,280,47.467
3,281,3.326
1,283,48.343
2,281,46.647
3,282,3.63
1,284,47.996
2,282,48.313
1,285,47.321
2,283,47.236000000000004
3,283,3.48
3,284,3.2960000000000003
1,286,47.015
2,284,46.956
3,285,4.233
1,287,47.015
2,285,47.157000000000004
3,286,4.233
1,288,47.734
2,286,47.631
3,287,4.698
1,289,47.874
2,287,47.473
3,288,5.005
1,290,47.936
2,288,47.730000000000004
3,289,5.7700000000000005
1,291,48.31
2,289,47.730000000000004
3,290,5.7700000000000005
1,292,48.27
2,290,46.716
3,291,3.789
1,293,48.812
3,292,5.667
2,291,46.935
1,294,48.812
3,293,5.122
2,292,47.300000000000004
1,295,48.788000000000004
3,294,5.937
2,293,47.89
1,296,49.387
3,295,6.793
2,294,48.206
1,297,49.896
3,296,7.159
2,295,46.525
3,297,6.922
1,298,50.176
2,296,46.598
3,298,8.844
1,299,50.946
2,297,45.987
3,299,8.529
2,298,44.606
1,300,50.939
3,300,7.882000000000001
2,299,45.925000000000004
1,301,48.033
3,301,8.608
2,300,45.256
1,302,49.371
3,302,8.921
2,301,44.883
1,303,49.51
3,303,8.664
1,304,50.027
2,302,46.013
2,303,46.196
3,304,8.655
1,305,50.35
2,304,45.955
3,305,9.064
1,306,48.827
2,305,46.471000000000004
3,306,9.025
1,307,48.445
2,306,46.471000000000004
3,307,9.025
1,308,47.94
2,307,46.389
3,308,8.818
1,309,47.94
2,308,46.355000000000004
3,309,9.771
1,310,48.342
2,309,46.965
3,310,10.713000000000001
1,311,48.003
2,310,47.499
3,311,11.104000000000001
1,312,49.208
2,311,47.967
3,312,11.245000000000001
1,313,48.461
2,312,48.459
3,313,0.022
1,314,48.394
2,313,48.417
3,314,0.029
1,315,49.334
2,314,48.771
3,315,0.598
1,316,49.135
2,315,48.675000000000004
3,316,1.424
1,317,49.117000000000004
2,316,49.397
3,317,0.914
1,318,49.234
2,317,50.304
