I,L,Q
1,178,181923.0
1,179,186912.0
3,177,175136.0
2,177,171303.0
1,180,188458.0
2,178,160950.0
3,178,179452.0
1,181,185526.0
2,179,160950.0
3,179,165004.0
1,182,185526.0
2,180,173641.0
3,180,168582.0
1,183,184185.0
2,181,177792.0
3,181,169869.0
2,182,180729.0
1,184,190630.0
3,182,170104.0
2,183,181541.0
1,185,193285.0
3,183,172067.0
2,184,183508.0
1,186,193593.0
3,184,173653.0
2,185,184553.0
1,187,195261.0
3,185,175508.0
1,188,196561.0
2,186,186296.0
3,186,175508.0
1,189,197599.0
2,187,186296.0
3,187,177678.0
1,190,197599.0
2,188,188762.0
3,188,179115.0
1,191,198644.0
2,189,190006.0
3,189,181332.0
1,192,200459.0
2,190,191241.0
3,190,182316.0
2,191,193306.0
3,191,182677.0
1,193,201755.0
2,192,193402.0
3,192,185374.0
1,194,202250.0
3,193,185374.0
2,193,195753.0
1,195,204518.0
3,194,186597.0
2,194,197419.0
1,196,205465.0
2,195,197419.0
3,195,188207.0
1,197,207043.0
2,196,198635.0
3,196,188391.0
1,198,207043.0
2,197,199766.0
3,197,190306.0
1,199,209470.0
2,198,201058.0
3,198,192420.0
1,200,210505.0
2,199,202613.0
3,199,193216.0
1,201,212032.0
2,200,203743.0
1,202,212977.0
3,200,194080.0
2,201,205452.0
1,203,214768.0
3,201,194080.0
2,202,205452.0
3,202,195878.0
1,204,215337.0
2,203,207145.0
3,203,197699.0
1,205,215337.0
2,204,209046.0
3,204,199676.0
1,206,216951.0
1,207,219070.0
2,205,210942.0
3,205,200813.0
1,208,221119.0
3,206,202573.0
2,206,212114.0
2,207,213489.0
3,207,203841.0
1,209,222096.0
2,208,215464.0
3,208,205680.0
1,210,224584.0
2,209,216540.0
3,209,205680.0
1,211,225796.0
2,210,216540.0
3,210,208289.0
1,212,226954.0
2,211,219008.0
3,211,209211.0
1,213,228980.0
2,212,219650.0
3,212,211725.0
1,214,228980.0
1,215,229234.0
3,213,212671.0
2,213,221946.0
2,214,224223.0
3,214,214519.0
1,216,231149.0
2,215,224800.0
3,215,216595.0
1,217,233498.0
2,216,227095.0
3,216,218053.0
1,218,234623.0
3,217,218053.0
2,217,229197.0
1,219,236285.0
3,218,220934.0
2,218,231438.0
1,220,241503.0
3,219,220934.0
2,219,231773.0
1,221,240072.0
3,220,223361.0
2,220,231773.0
1,222,241244.0
3,221,223534.0
2,221,233438.0
1,223,243165.0
3,222,226505.0
2,222,234711.0
1,224,243165.0
3,223,228169.0
2,223,237767.0
1,225,244500.0
3,224,229967.0
2,224,239091.0
1,226,246274.0
2,225,240471.0
